PPG_from,APG_from,RPG_from,SPG_from,BPG_from,MPG_from,Usage_from,off_rtg_from,def_rtg_from,off_usage_from,Min_per_from,ORtg_from,usgG1_from,eFG_from,TS_per_from,ORB_per_from,DRB_per_from,AST_per_from,TO_per_from,FT_per_from,twoP_per_from,TP_per_from,blk_per_from,stl_per_from,ftr_from,porpag_from,adjoe_from,pfr_from,drtg_from,adrtg_from,dporpag_from,stops_from,oreb_from,dreb_from,treb_from,ast_from,stl_from,blk_from,pts_from,class_from_---,class_from_Fr,class_from_Jr,class_from_So,class_from_Sr,bpm_change,player_key,year_from,year_to,cluster_from,cluster_to
14.5,2.4,2.9,1.0,0.1,32.3,22.9,,,,80.3,99.2,22.9,48.8,52.36,2.0,9.1,15.9,18.9,0.762,0.411,0.356,0.6,1.8,26.8,1.22618,98.4599,2.5,104.703,107.473,2.45037,169.04,0.5429,2.3143,2.8571,2.4,1.0,0.1429,14.4571,0,0,0,0,0,4.2941400000000005,3907021,2019,2020,1.0,14.0
13.5,1.2,7.5,1.3,0.9,28.2,23.5,,,,70.0,106.7,23.5,56.7,58.84,8.3,20.6,9.2,18.6,0.672,0.598,0.265,3.3,2.7,38.6,2.42217,112.388,4.4,93.5339,92.9591,3.54626,219.114,1.9394,5.5455,7.4848,1.2424,1.3333,0.9394,13.4545,0,0,0,0,0,3.1747600000000005,3907022,2019,2020,15.0,15.0
1.6,0.0,1.2,0.4,0.0,4.6,28.5,,,,1.0,96.5,28.5,42.9,42.86,24.5,16.4,0.0,14.8,0.0,0.0,0.333,0.0,4.2,0.0,0.19123,104.415,12.3,97.3965,99.4834,0.338042,3.19625,0.6667,0.3333,1.0,0.0,0.3333,0.0,1.3333,0,0,0,0,0,2.66204,3907028,2019,2020,,
10.5,2.0,6.6,0.4,1.5,26.0,19.5,,,,65.0,117.9,19.5,61.5,62.53,8.1,18.6,15.1,17.3,0.684,0.63,0.39,5.7,0.9,23.4,2.7484,117.94,4.1,95.8659,95.2543,3.08404,175.989,1.8788,4.697,6.5758,1.9697,0.3939,1.4545,10.4545,0,0,0,0,0,-3.4208899999999995,3907090,2019,2020,15.0,15.0
1.7,0.3,1.3,0.1,0.0,9.0,15.0,,,,18.8,80.3,15.0,37.5,42.24,4.4,12.6,5.4,25.1,0.591,0.286,0.304,0.0,1.0,50.0,-0.270021,78.732,4.4,104.159,97.2553,0.996474,39.0623,0.3333,0.9259,1.2593,0.2593,0.1481,0.0,1.7037,0,0,0,0,0,0.8869,3907108,2019,2020,12.0,3.0
12.7,1.1,8.6,0.3,0.6,24.5,25.1,,,,62.7,122.7,25.1,67.1,68.83,15.2,27.4,8.7,18.5,0.72,0.691,0.318,2.8,0.7,51.0,3.58365,128.619,3.3,93.8486,95.5976,2.9481,168.394,2.8611,5.6944,8.5556,1.0833,0.3056,0.5556,12.6944,0,0,0,0,0,2.1918600000000006,3907110,2019,2020,15.0,15.0
5.8,1.4,4.0,1.2,0.4,27.0,13.3,,,,68.3,93.9,13.3,48.3,50.86,5.7,11.5,10.2,25.8,0.657,0.453,0.371,2.0,2.6,28.9,-0.512135,82.0549,4.6,104.668,106.832,2.14455,136.886,1.3,2.7333,4.0333,1.3667,1.2333,0.4,5.8333,0,0,0,0,0,7.38476,3907340,2019,2020,8.0,9.0
0.2,0.3,0.6,0.2,0.0,3.8,8.2,,,,5.1,53.5,8.2,18.8,18.75,0.0,18.2,11.7,30.5,0.0,0.0,0.167,0.0,3.3,0.0,-0.546635,45.1796,3.5,101.443,98.325,0.402532,14.3922,0.0,0.5556,0.5556,0.2778,0.2222,0.0,0.1667,0,0,0,0,0,-9.26574,3907342,2019,2020,,
0.6,0.3,0.2,0.0,0.0,3.2,16.3,,,,2.8,84.0,16.3,25.0,35.82,0.0,0.0,24.1,21.6,0.6,0.0,0.25,0.0,0.0,83.3,-0.029619,81.7949,3.5,107.064,103.237,0.201333,3.78859,0.0,0.2,0.2,0.3333,0.0,0.0,0.6,0,0,0,0,0,9.047289999999998,3907342,2020,2021,,
7.1,2.6,3.8,,,,18.2,104.7331,105.7536,0.2048,52.0,102.1,19.7,50.7,56.83,4.3,14.4,21.7,26.1,0.71,0.481,0.381,0.6,1.4,72.3,1.52454,107.337,4.7,103.059,96.9921,2.48987,127.062,0.8438,2.9375,3.7812,2.5625,0.5312,0.125,7.0625,0,0,1,0,0,1.4175799999999996,3907406,2019,2020,8.0,10.0
