team,num_players,total_current_usage,total_adjusted_usage,current_team_bpm,optimal_team_bpm,bpm_improvement
Alabama A&M,12,208.46482033516386,99.99999999999997,-10.558983627040575,-2.9574659559558047,7.601517671084771
New Mexico,11,220.41624740218668,100.0,5.026213795562132,8.31343809809308,3.287224302530948
Purdue,10,176.52423040449352,100.0,9.888326391027162,10.647170716762036,0.7588443257348736
UMBC,11,205.4970557629635,100.0,-2.347320410261265,3.180412850022114,5.527733260283378
FIU,9,171.99497017364334,100.0,-2.2784350870900436,2.5728705987212663,4.85130568581131
Charleston Southern,12,219.36931107169448,100.0,-3.3075483077404235,1.2542903384665125,4.561838646206936
Maryland,9,190.2084393939394,100.0,0.21863372287214,4.983365060550996,4.764731337678857
Sacred Heart,10,191.3416203522316,100.0,-11.293526374968177,-1.6550466760452218,9.638479698922955
South Alabama,8,152.93200716845877,99.99999999999999,-6.533974667051268,2.0800599125315298,8.614034579582798
Fordham,10,179.98943352590814,100.0,-0.8359062620603825,1.3127953849859455,2.148701647046328
Troy,12,230.142831117333,99.99999999999999,-7.370104597777429,0.5333815743501087,7.903486172127538
Mercyhurst,9,167.39551747311828,100.0,-5.0181022271853974,-0.45370944638008814,4.564392780805309
Coastal Carolina,10,179.2486629266012,100.0,-5.224115343227631,-0.06946644914985839,5.154648894077773
Northern Arizona,12,233.63411664131306,100.00000000000001,-13.13624878545006,1.652301349586377,14.788550135036438
Jackson St.,10,178.3611347678247,99.99999999999999,-7.448819390491964,-0.2852287328005342,7.16359065769143
Montana St.,9,175.46386388263304,100.00000000000001,-3.1388514982318396,1.1412682275665884,4.2801197257984285
Chattanooga,9,182.8755972995853,99.99999999999999,-6.598116354098707,-0.33960120099325625,6.258515153105451
South Florida,11,203.26318793706292,100.0,0.7362060120982512,5.969082504473414,5.232876492375163
St. John's,10,195.45336550836552,99.99999999999999,6.559023368834434,7.277619139334012,0.7185957704995785
The Citadel,12,226.8487285096768,100.0,-15.427366208767982,0.016671287402471924,15.444037496170454
Richmond,12,247.58478440680403,100.0,-14.25662114973829,0.8960205480604836,15.152641697798774
