Name,Team,cluster,BPM,Height,Usage,AthleteSourceId
Kamari Brown,Georgia Southern,3,0.2948,75.0,20.1,4702113.0
Bennedict Mathurin,Arizona,11,5.85641,78.0,23.5,4683634.0
Bradley Akhile,Incarnate Word,15,-5.86551,79.0,16.7,4703619.0
Corey Walker Jr.,South Florida,6,7.77524,80.0,18.0,4290822.0
Darnell Brodie,Drake,8,-1.87441,82.0,19.8,4397121.0
Leon Ayers III,Duquesne,1,-2.33056,77.0,23.6,4703813.0
Rashad Smith,Idaho,14,-2.32205,76.0,18.6,4702028.0
Montre Gipson,Tarleton St.,9,2.17782,71.0,24.5,4705372.0
Vladislav Goldin,Florida Atlantic,0,0.820873,85.0,20.9,4700818.0
Brock Gilbert,Utah Tech,5,-5.75634,70.0,16.4,4701243.0
Dylan Brougham,Nebraska Omaha,15,-2.05397,81.0,15.1,4702679.0
Emon Washington,Illinois St.,10,-3.56938,77.0,12.7,4703900.0
Rongie Gordon,UAB,15,4.53682,80.0,12.0,4432400.0
Caleb Lohner,BYU,7,-0.486498,80.0,19.8,4432208.0
Nana Antwi-Boasiako,Stephen F. Austin,15,-1.23626,81.0,17.2,4703693.0
Nick Gazelas,Montana St.,12,-1.19791,76.0,15.1,4702072.0
Noah Taitz,Stanford,10,-1.15735,75.0,17.0,4432398.0
Jay Pal,Jacksonville St.,15,3.06983,81.0,13.8,4703247.0
Jalen Finch,Jacksonville St.,9,-0.00353425,73.0,18.9,4703243.0
Kevin Osawe,Little Rock,10,-5.49906,79.0,17.0,4703072.0
Jacob Ognacevic,Lipscomb,3,-3.76048,79.0,22.4,4703983.0
Brandon Angel,Stanford,12,0.866361,80.0,18.4,4590354.0
Sheldon Edwards,Valparaiso,3,1.91192,76.0,24.1,4703982.0
Jacksen Greco,Mercer,14,-2.50935,75.0,13.1,4703818.0
Kobe Williamson,Seattle,15,3.39563,80.0,14.9,4702017.0
Justin Amadi,James Madison,13,2.09031,79.0,17.3,4702765.0
Pierce Spencer,Nicholls St.,6,1.14657,75.0,16.8,4703670.0
Josiah Freeman,Western Michigan,10,-4.02357,75.0,12.8,4703544.0
Mylyjael Poteat,Rice,8,-4.58285,81.0,26.8,4590358.0
Tommy Murr,Lipscomb,1,-3.49795,73.0,18.9,4700835.0
Vuk Vulikic,UC San Diego,4,-8.90992,77.0,15.2,4703081.0
