ncaa_id,year,rapm,off_rapm,def_rapm,base_bpm,win_rate,games_played,total_minutes
3907786,2019,3.23,0.79,2.35,1.94,0.714,35,347.0
3907788,2019,9.64,6.74,3.07,9.5,0.611,36,1235.0
3907804,2019,3.89,5.85,-1.74,4.61,0.469,32,1046.0
3915193,2019,1.69,4.52,-2.51,2.27,0.548,31,999.0
3915194,2019,-3.11,-1.17,-1.57,-2.8,0.625,16,369.0
3904623,2019,4.14,0.64,3.7,3.51,0.727,33,571.0
3904625,2019,7.41,2.95,4.65,6.77,0.727,33,823.0
3907823,2019,7.83,5.08,2.83,6.61,0.784,37,1174.0
3907824,2019,7.06,2.42,4.72,5.84,0.784,37,576.0
3904627,2019,-4.75,-6.06,1.31,-4.75,0.5,10,65.0
3908808,2019,5.35,3.53,1.82,4.91,0.588,34,652.0
3904628,2019,3.99,2.1,2.05,4.68,0.438,32,1072.0
3904629,2019,4.67,2.89,1.94,5.36,0.438,32,883.0
3911619,2019,6.21,2.78,3.46,4.76,0.806,36,1079.0
3911620,2019,6.48,3.2,3.31,5.03,0.806,36,1112.0
3908335,2019,5.1,2.08,3.38,5.0,0.7,10,305.0
3908336,2019,-1.65,-0.85,-0.78,-0.65,0.31,29,722.0
3908374,2019,-1.07,-0.34,-0.35,-0.34,0.545,33,609.0
3908846,2019,2.7,-7.33,9.87,3.89,0.182,11,16.0
3947237,2019,-3.01,-2.53,-0.02,-1.37,0.4,25,423.0
3912841,2019,7.08,2.36,4.79,6.08,0.735,34,1189.0
4397495,2019,-5.74,-3.99,-1.34,-2.97,0.154,13,234.0
3912845,2019,-1.06,-3.1,2.21,-1.2,0.611,36,487.0
3912846,2019,2.97,0.16,2.93,2.11,0.733,15,31.5
3912847,2019,6.47,2.89,3.66,5.4,0.758,33,1065.0
3912848,2019,10.21,6.0,4.28,8.89,0.8,25,761.0
3947248,2019,1.78,1.28,0.49,1.63,0.529,34,699.0
3947250,2019,7.85,4.95,2.94,7.29,0.633,30,903.0
3906508,2019,1.18,-0.09,1.7,2.18,0.514,35,771.0
3906509,2019,-3.1,-1.9,-0.72,-2.62,0.645,31,645.0
3947257,2019,2.38,1.68,0.67,2.64,0.435,23,647.0
3913554,2019,7.07,6.19,0.94,7.79,0.389,18,385.0
3913555,2019,2.4,2.68,-0.35,2.65,0.417,36,898.0
3908903,2019,2.07,2.58,-0.2,2.92,0.485,33,921.0
3908904,2019,-0.51,-0.12,-0.09,0.34,0.485,33,613.0
3912333,2019,-4.21,-1.34,-2.34,-1.95,0.316,19,605.0
3912337,2019,5.48,3.33,2.44,5.9,0.559,34,878.0
3922031,2019,-0.19,0.91,-0.71,0.58,0.543,35,1188.0
3922032,2019,-9.15,-6.68,-1.87,-7.02,0.375,24,308.0
3922033,2019,-0.46,0.98,-0.92,0.84,0.5,30,754.0
3922035,2019,-4.48,-3.0,-1.04,-1.48,0.125,16,412.0
3906519,2019,0.51,-0.52,1.28,0.1,0.706,34,1025.0
3906520,2019,-2.98,-3.61,1.07,-0.98,0.323,31,758.0
3906524,2019,2.16,-1.55,3.93,1.8,0.68,25,160.0
3913216,2019,1.36,2.89,-1.0,2.27,0.581,31,470.0
3913217,2019,1.63,-0.68,2.59,2.33,0.5,30,331.5
3913218,2019,-0.81,1.68,-1.89,0.69,0.5,18,498.0
3906549,2019,-3.52,-3.25,0.25,-2.3,0.516,31,915.0
3911843,2019,3.36,2.44,0.9,3.99,0.364,33,896.0
